Name,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,Tag,somme_last_12_months,moyenne_last_12_months,growth_on_12_months,growth_2022vs2024,growth_2023vs2024
France,30560,27200,35400,31080,33760,28590,30160,26170,24550,25530,33240,32480,34840,29240,39870,33660,35280,33140,34480,30120,27770,33770,43220,39720,33900,28990,46990,42590,44970,42460,42690,34360,32800,31460,40230,35910,34890,32990,45980,40390,42100,35250,35140,30820,27910,28180,38100,36210,Achat,427960,35663.333333333336,0.03783319002579533,0.030955650309556493,-0.06426150650486495
France,24260,25880,30480,28510,31410,24910,25980,22620,18700,19810,26380,24270,26270,23700,29560,26530,29500,22540,27710,23190,23430,29110,37250,38840,32350,25430,42030,34900,42110,43870,46340,32600,28990,28610,34810,28670,27580,30320,39770,37770,36570,29640,30540,23870,23840,24630,35260,33070,Location,372860,31071.666666666668,0.19905728788977517,0.104344993039718,-0.11373630291649828
France,6220,5450,6430,4820,6370,5760,5870,5560,5000,5840,7640,7040,8570,6750,10500,9820,9620,9380,15240,10610,9430,12410,17920,15970,12650,8740,14810,14360,18110,17110,19360,15030,9850,8850,13740,12820,11010,10070,14950,12570,12840,9100,9190,8780,7260,7240,10810,10890,Restaurant,124710,10392.5,-0.010899182561307952,-0.08449566877110559,-0.24614640633500573
France,206540,215580,236320,208110,235630,196230,199180,169820,150560,153890,204540,191860,228720,197900,251740,225890,237480,220090,289180,242650,231890,314980,403140,428460,318140,273440,452140,393700,467380,448150,453200,368920,293440,272970,344500,307610,268930,285290,366580,340420,340120,283380,258290,242680,232540,213010,338480,294850,Total,3464570,288714.1666666667,0.09638195813036843,0.05881508013153547,-0.21144895176837164
